id;path;is_bee;is_wasp;is_otherinsect;is_other;photo_quality;is_validation;is_final_validation;label;bboxes;x_bb;y_bb;w_bb;h_bb;w_img;h_img;mx_bb;my_bb;mw_bb;mh_bb;;;;
102;bee1\13974070323_84dd497988_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
103;bee1\13974074073_0c6039814a_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
104;bee1\13975311404_d631edd5aa_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
105;bee1\13993945720_9ab93f2991.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
106;bee1\13994860443_f4a58fe9be_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
107;bee1\14002344549_67c6ba6a35_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
108;bee1\14006144689_b5feed1689_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
109;bee1\14021997265_809f395a0e_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
110;bee1\14021997265_809f395a0e_w.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
111;bee1\14028295179_d7020cb54b_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
112;bee1\14044538853_24f354a821_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
113;bee1\14065269548_1ca1055f7c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
114;bee1\14065269718_2ec3634a83_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
115;bee1\14096313121_6256433c2e_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
116;bee1\14099529705_3ee72522f1_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
117;bee1\14099956064_7bd446b039_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
118;bee1\14110473287_b99ac20958_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
119;bee1\14111443672_b99f6d071d_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
120;bee1\14112763538_b07635b3c4_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
121;bee1\14114525691_ee3414ebb5_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
122;bee1\14117808765_68396b61b6_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
123;bee1\14118166754_0401cf247b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
124;bee1\14121832449_7a50a2d287_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
125;bee1\14127514750_54646a604b_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
126;bee1\14136238353_fe941a6923_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
127;bee1\14136285539_6e79118c79_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
128;bee1\14136293089_d1d1dc7c44_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
129;bee1\14136340720_dea391919b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
130;bee1\14136373690_35fa63f235_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
131;bee1\14136427767_507922bd84_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
132;bee1\14136432977_0ce200ebc9_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
133;bee1\14160975322_9e3b8fb1de_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
134;bee1\141835258_ba0c9e83ea_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
135;bee1\141835259_31a9a80e96_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
136;bee1\14188219461_630df3a0ee_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
137;bee1\14189837072_6b60fd5af8_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
138;bee1\14191117658_78059ffdf4_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
139;bee1\14207529013_9eb3cc818f_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
140;bee1\14212550492_0c11024012_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
141;bee1\14223086694_d4908ac569_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
142;bee1\142302599_eeae598d28_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
143;bee1\14262728407_89b22befb5_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
144;bee1\14272102003_7b56830013_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
145;bee1\14274364993_ef5ee27cc9_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
146;bee1\14274364993_ef5ee27cc9_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
147;bee1\14275772803_6e54d4df37_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
148;bee1\14294990652_e2b3ddd0d1_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
149;bee1\14294990652_e2b3ddd0d1_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
150;bee1\14294991552_7b9d637201_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
151;bee1\14294993292_f05c360aab_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
152;bee1\14294993292_f05c360aab_w.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
153;bee1\14295908305_70a1340675_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
154;bee1\14299416795_14dac86882_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
155;bee1\14299792476_0bd556d5ff_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
156;bee1\1430068141_2e05947f7c_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
157;bee1\1430069929_11c69f847d_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
158;bee1\14305502673_268b41bd3b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
159;bee1\14308106675_103943d49a_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
160;bee1\14308905514_649fd7a38a_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
161;bee1\1430940630_7b6da6940d_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
162;bee1\14312999643_7d0069f1d0_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
163;bee1\14315984511_0dd61c64f3_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
164;bee1\14319615181_6a1e683308_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
165;bee1\14321167902_0274b9e6d6_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
166;bee1\14322267704_2ac34a2af2_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
167;bee1\14322321214_77d4844b56_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
168;bee1\14322945555_7d157de7e6_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
169;bee1\14328029341_45259fba63_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
170;bee1\14328033931_1fc6dfd6ac_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
171;bee1\14328718034_0cea7c2419_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
172;bee1\14330647014_b66dcd0f4b_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
173;bee1\14335159673_d79fe133db_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
174;bee1\14343038379_9db0cd2eb6_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
175;bee1\14350118446_e2e43683fc_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
176;bee1\14350209910_3368901b3c_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
177;bee1\14351571413_9ca227e0d6_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
178;bee1\14358121867_e0bb7b3f6c_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
179;bee1\14359868615_da607ccd68_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
180;bee1\14364187542_54931a2fb5_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
181;bee1\14366269693_be9dc3e0e3_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
182;bee1\14369884681_184024c2a4_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
183;bee1\14370176641_ac2bc3efb4_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
184;bee1\14374032850_4af6cdf8e2_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
185;bee1\14383884718_f733722580_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
186;bee1\14383884858_fbc3311968_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
187;bee1\1439007212_136df08bc2_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
188;bee1\14402530052_9159691119_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
189;bee1\14402556576_664112b8c1_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
190;bee1\14402556576_664112b8c1_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
191;bee1\14418016864_ea8015d533_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
192;bee1\14432648236_2de7a4ff73_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
193;bee1\14442155653_39667778e4_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
194;bee1\14453275151_0f7ac39bd4_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
195;bee1\14461086089_e071dfb2e5_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
196;bee1\14462772008_83781a09ac_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
197;bee1\14475714792_20599b2c57_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
198;bee1\14475714792_20599b2c57_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
199;bee1\145175589_a2ced08c88_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
200;bee1\14523129328_45d7a46906_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
201;bee1\14534670323_c3789b8bf8_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
202;bee1\14538525841_9a5f0eef28_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
203;bee1\14573782530_fc04759592_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
204;bee1\14574021077_1875498f19_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
205;bee1\14576770334_20c4c2c6f2_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
206;bee1\14577771332_0be4989f05_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
207;bee1\14578543205_002411e07c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
208;bee1\14604210333_0e5a830a77_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
209;bee1\1460478996_2633154dc2_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
210;bee1\1460555191_b054122fe4_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
211;bee1\14612890354_daa8a96a7e_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
212;bee1\14614327622_34f9b836e1_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
213;bee1\14616084963_df6794b172_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
214;bee1\14626153284_342e119bcb_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
215;bee1\14658112595_fe9eb0129f_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
216;bee1\14670800763_bdaa177fcd_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
217;bee1\14691352628_097f63d0f7_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
218;bee1\14696603375_e320d29017_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
219;bee1\1470194403_ceffc814fb_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
220;bee1\14706520715_f472aafeb8_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
221;bee1\14710683850_8f2aa5cfa7_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
222;bee1\14710819757_66341a9fe0_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
223;bee1\14715854799_ca7323ebcd_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
224;bee1\14743363565_a0e1126435_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
225;bee1\14750201754_f9bc1939a4_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
226;bee1\1475543393_80a729adcb_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
227;bee1\14761803776_69f0575d43_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
228;bee1\14762752142_f3cfddcaf4_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
229;bee1\14773481592_1e5c082e2f_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
230;bee1\14776205365_5517db432c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
231;bee1\14780347693_f829e7ef19_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
232;bee1\14799502127_5f0142c79b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
233;bee1\14813531445_53270da350_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
234;bee1\14813531445_53270da350_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
235;bee1\14814994971_5a5a44a830_w.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
236;bee1\14816317140_68f73f4634_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
237;bee1\14816339879_b0041a4f72_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
238;bee1\14817399887_0714ee6cbc_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
239;bee1\14818373127_b0864de4ce_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
240;bee1\14826387406_a7d980da89_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
